stages,menu_size,gates,n_instances,median_frontier_peak,max_frontier_peak,median_runtime_ms,max_runtime_ms
4,3,1,20,3.0,4.0,0.04625,0.0631
4,3,4,20,3.0,4.0,0.0465,0.0492
4,6,1,20,6.0,13.0,0.08855,0.1017
4,6,4,20,6.0,10.0,0.0877,0.0986
8,3,1,20,7.5,11.0,0.1101,0.1555
8,3,4,20,8.0,11.0,0.1069,0.1264
8,6,1,20,22.0,40.0,0.3331,0.4372
8,6,4,20,19.5,33.0,0.26665,0.3679
16,3,1,20,35.0,52.0,0.53255,0.6707
16,3,4,20,18.0,26.0,0.28715,0.3806
16,6,1,20,110.5,151.0,2.70905,3.99
16,6,4,20,44.5,78.0,1.1323,1.6862
32,3,1,20,137.0,255.0,3.6548,4.5853
32,3,4,20,106.0,162.0,2.4321,3.4353
32,6,1,20,388.5,586.0,27.7073,38.6562
32,6,4,20,266.0,457.0,22.0029,48.8303
64,3,1,20,648.5,903.0,96.5882,132.6898
64,3,4,20,403.0,804.0,45.29895,82.1743
64,6,1,20,1548.0,2005.0,537.0462,684.2184
64,6,4,20,1231.0,1852.0,333.55515,516.3319
