phase_ns,n_instances,median_observed_wait_ns,median_phase_bound_ns,median_maxwait_bound_ns
445042,40,839706.5,1083240.5,1833239.5
447042,40,839366.0,1078361.0,1828360.0
449042,40,835650.5,1083913.5,1833912.5
451042,40,834019.5,1075690.0,1825453.5
453042,40,831661.5,1077588.0,1826775.0
455042,40,828632.0,1077849.5,1826851.5
457042,40,829270.5,1068856.0,1818855.0
459042,40,828184.5,1063838.5,1813837.5
461042,40,824419.5,1064963.0,1814962.0
463042,40,823457.5,1061616.5,1811615.5
465042,40,818694.5,1061172.0,1811171.0
467042,40,817023.5,1059364.5,1809363.5
469042,40,817524.5,1055707.5,1805706.5
471042,40,815775.5,1055934.0,1805829.0
473042,40,810937.5,1053662.0,1802587.0
475042,40,809163.5,1050749.5,1793481.0
477042,40,806589.0,1049185.0,1053698.5
479042,40,805094.0,1050944.5,1059660.5
481042,40,804409.5,1045923.0,1053976.0
483042,40,801138.0,1044176.5,1053866.5
485042,40,799417.5,1042143.5,1053194.5
487042,40,797604.5,1038928.0,1051914.5
489042,40,795612.0,1038101.0,1052954.5
491042,40,794501.0,1034947.5,1050930.0
493042,40,791758.0,1034332.0,1053742.5
495042,40,794067.5,1029850.0,1048251.5
497042,40,789682.5,1029016.5,1050617.5
499042,40,786046.5,1026860.5,1051413.5
501042,40,785079.5,1022528.0,1046908.5
503042,40,786804.0,1018774.0,1043375.5
505042,40,782053.0,1016945.5,1044703.5
