distribution_id,gate_regime,procedure,repetitions,family_failures,family_failure_rate,cp_lower,cp_upper,target,status,sample_cost_per_repetition
gamma,far,bonferroni_simultaneous,10000,209.0,0.0209,0.0186010049574682,0.0234092178625567,0.05,SUPPORTED,3000
gamma,far,pointwise_95_then_select,10000,2203.0,0.2203,0.2134937216104092,0.2272269181056857,0.05,REPORTED_ONLY,3000
gamma,far,split_select_certify,10000,139.0,0.0139,0.012029985542963,0.0159845313097613,0.05,SUPPORTED,6000
gamma,near,bonferroni_simultaneous,10000,211.0,0.0211,0.0187899671163134,0.023620142665475,0.05,SUPPORTED,3000
gamma,near,pointwise_95_then_select,10000,2167.0,0.2167,0.2099348312774092,0.2235873678504588,0.05,REPORTED_ONLY,3000
gamma,near,split_select_certify,10000,165.0,0.0165,0.0144596933669026,0.0187531344661696,0.05,SUPPORTED,6000
lognormal_mixture,far,bonferroni_simultaneous,10000,189.0,0.0189,0.0167146175519718,0.0212967586509437,0.05,SUPPORTED,3000
lognormal_mixture,far,pointwise_95_then_select,10000,2237.0,0.2237,0.2168555834473636,0.2306635838255832,0.05,REPORTED_ONLY,3000
lognormal_mixture,far,split_select_certify,10000,153.0,0.0153,0.0133364015480127,0.0174771878841579,0.05,SUPPORTED,6000
lognormal_mixture,near,bonferroni_simultaneous,10000,197.0,0.0197,0.017468442558222,0.0221424669795033,0.05,SUPPORTED,3000
lognormal_mixture,near,pointwise_95_then_select,10000,2152.0,0.2152,0.2084521844376114,0.2220706645563631,0.05,REPORTED_ONLY,3000
lognormal_mixture,near,split_select_certify,10000,152.0,0.0152,0.0132429338462246,0.0173707203431889,0.05,SUPPORTED,6000
shifted_lognormal,far,bonferroni_simultaneous,10000,208.0,0.0208,0.0185065449323637,0.0233037345517187,0.05,SUPPORTED,3000
shifted_lognormal,far,pointwise_95_then_select,10000,2169.0,0.2169,0.2101325275405027,0.2237895849435597,0.05,REPORTED_ONLY,3000
shifted_lognormal,far,split_select_certify,10000,144.0,0.0144,0.0124960212887962,0.0165181589591014,0.05,SUPPORTED,6000
shifted_lognormal,near,bonferroni_simultaneous,10000,192.0,0.0192,0.0169971829796242,0.0216140173333326,0.05,SUPPORTED,3000
shifted_lognormal,near,pointwise_95_then_select,10000,2183.0,0.2183,0.2115164670411938,0.2252050389688263,0.05,REPORTED_ONLY,3000
shifted_lognormal,near,split_select_certify,10000,159.0,0.0159,0.0138976683607506,0.0181155368281105,0.05,SUPPORTED,6000
