stages,menu_size,gates,n_instances,median_frontier_peak,max_frontier_peak,median_runtime_ms,max_runtime_ms
4,3,1,20,3.0,5.0,0.020879500000000002,0.039069
4,3,4,20,3.0,5.0,0.021594,0.024997
4,6,1,20,6.0,13.0,0.046891,0.062289
4,6,4,20,6.0,11.0,0.0441705,0.07459
8,3,1,20,8.0,10.0,0.060083,0.068352
8,3,4,20,7.5,12.0,0.058595,0.079748
8,6,1,20,23.0,41.0,0.25679300000000005,0.407639
8,6,4,20,19.5,34.0,0.1789695,0.260626
16,3,1,20,37.0,51.0,0.482375,0.668063
16,3,4,20,18.5,29.0,0.199248,0.274116
16,6,1,20,118.5,210.0,4.3960825,6.925958
16,6,4,20,48.5,77.0,0.9666745,1.686439
32,3,1,20,122.0,148.0,4.892383000000001,6.436954
32,3,4,20,96.0,128.0,2.568952,4.204251
32,6,1,20,368.0,539.0,72.31625299999999,135.391797
32,6,4,20,249.0,405.0,27.5731945,64.872912
64,3,1,20,547.5,741.0,156.2591285,229.738818
64,3,4,20,364.5,629.0,60.371411499999994,110.878183
64,6,1,20,1339.5,1866.0,1826.0741699999999,3088.892135
64,6,4,20,1022.0,1813.0,808.4836869999999,2139.059652
