base_threshold,dgp_id,repetitions,trigger_count,trigger_rate,unsafe_nominal_pass,unsafe_pipeline_upgrade
0.05,GAUSSIAN_AR1_WEAK,3000,3000,1.0,0,0
0.05,HIDDEN_MARKOV,3000,3000,1.0,1,0
0.05,IID,3000,145,0.04833333333333333,0,0
0.05,TAIL_BURST,3000,2999,0.9996666666666667,121,0
0.075,GAUSSIAN_AR1_WEAK,3000,3000,1.0,0,0
0.075,HIDDEN_MARKOV,3000,3000,1.0,1,0
0.075,IID,3000,2,0.0006666666666666666,0,0
0.075,TAIL_BURST,3000,2998,0.9993333333333333,121,0
0.1,GAUSSIAN_AR1_WEAK,3000,3000,1.0,0,0
0.1,HIDDEN_MARKOV,3000,3000,1.0,1,0
0.1,IID,3000,0,0.0,0,0
0.1,TAIL_BURST,3000,2994,0.998,121,0
0.125,GAUSSIAN_AR1_WEAK,3000,3000,1.0,0,0
0.125,HIDDEN_MARKOV,3000,3000,1.0,1,0
0.125,IID,3000,0,0.0,0,0
0.125,TAIL_BURST,3000,2989,0.9963333333333333,121,0
0.15,GAUSSIAN_AR1_WEAK,3000,3000,1.0,0,0
0.15,HIDDEN_MARKOV,3000,3000,1.0,1,0
0.15,IID,3000,0,0.0,0,0
0.15,TAIL_BURST,3000,2972,0.9906666666666667,121,4
0.2,GAUSSIAN_AR1_WEAK,3000,2886,0.962,0,0
0.2,HIDDEN_MARKOV,3000,3000,1.0,1,0
0.2,IID,3000,0,0.0,0,0
0.2,TAIL_BURST,3000,2892,0.964,121,10
0.25,GAUSSIAN_AR1_WEAK,3000,13,0.004333333333333333,0,0
0.25,HIDDEN_MARKOV,3000,3000,1.0,1,0
0.25,IID,3000,0,0.0,0,0
0.25,TAIL_BURST,3000,2666,0.8886666666666667,121,17
0.3,GAUSSIAN_AR1_WEAK,3000,0,0.0,0,0
0.3,HIDDEN_MARKOV,3000,3000,1.0,1,0
0.3,IID,3000,0,0.0,0,0
0.3,TAIL_BURST,3000,2226,0.742,121,36
