split,coordinate_id,n_units,lag1_pearson,lag1_spearman,trigger_threshold,correlation_triggered,status
calibration,X1,3000,0.4633976257068535,0.2864344125297396,0.1,True,CORRELATION_TRIGGERED
calibration,X2,3000,0.2672029732347605,0.0128000730395781,0.1,True,CORRELATION_TRIGGERED
calibration,X3,3000,0.0107134761785001,0.0801931220451724,0.1,False,OK
calibration,X4,3000,0.027971748820815,0.1024958098292404,0.1,True,CORRELATION_TRIGGERED
calibration,E2E,3000,0.2802425239462337,0.0378365112068856,0.1,True,CORRELATION_TRIGGERED
validation,X1,3500,0.1882727698752158,0.0745908857521943,0.1,True,CORRELATION_TRIGGERED
validation,X2,3500,0.2865356898247858,-0.0093586373039167,0.1,True,CORRELATION_TRIGGERED
validation,X3,3500,-0.0174847525497853,0.0265116371379796,0.1,False,OK
validation,X4,3500,0.0289960010472234,0.0084774278975211,0.1,False,OK
validation,E2E,3500,0.3423735969248627,0.0180061550232348,0.1,True,CORRELATION_TRIGGERED
