split,session_label,run_order_in_session,statistical_unit,coordinate_id,value_ns,is_infinite
calibration,CAL-01,1,selected_analysis_instance,E2E,4130932,false
calibration,CAL-01,1,selected_analysis_instance,X1,100192,false
calibration,CAL-01,1,selected_analysis_instance,X2,3005979,false
calibration,CAL-01,1,selected_analysis_instance,X3,839001,false
calibration,CAL-01,1,selected_analysis_instance,X4,135760,false
calibration,CAL-01,2,selected_analysis_instance,E2E,1518111,false
calibration,CAL-01,2,selected_analysis_instance,X1,100037,false
calibration,CAL-01,2,selected_analysis_instance,X2,3902,false
calibration,CAL-01,2,selected_analysis_instance,X3,920849,false
calibration,CAL-01,2,selected_analysis_instance,X4,443323,false
calibration,CAL-01,3,selected_analysis_instance,E2E,1052923,false
calibration,CAL-01,3,selected_analysis_instance,X1,100019,false
calibration,CAL-01,3,selected_analysis_instance,X2,4962,false
calibration,CAL-01,3,selected_analysis_instance,X3,838893,false
calibration,CAL-01,3,selected_analysis_instance,X4,59049,false
calibration,CAL-01,4,selected_analysis_instance,E2E,4247813,false
calibration,CAL-01,4,selected_analysis_instance,X1,100179,false
calibration,CAL-01,4,selected_analysis_instance,X2,3185962,false
calibration,CAL-01,4,selected_analysis_instance,X3,99136,false
calibration,CAL-01,4,selected_analysis_instance,X4,103566,false
calibration,CAL-01,5,selected_analysis_instance,E2E,5098454,false
calibration,CAL-01,5,selected_analysis_instance,X1,100137,false
calibration,CAL-01,5,selected_analysis_instance,X2,4002018,false
calibration,CAL-01,5,selected_analysis_instance,X3,837772,false
calibration,CAL-01,5,selected_analysis_instance,X4,108527,false
calibration,CAL-01,6,selected_analysis_instance,E2E,4108017,false
calibration,CAL-01,6,selected_analysis_instance,X1,100203,false
calibration,CAL-01,6,selected_analysis_instance,X2,2991267,false
calibration,CAL-01,6,selected_analysis_instance,X3,838097,false
calibration,CAL-01,6,selected_analysis_instance,X4,128450,false
calibration,CAL-01,7,selected_analysis_instance,E2E,1055664,false
calibration,CAL-01,7,selected_analysis_instance,X1,100018,false
calibration,CAL-01,7,selected_analysis_instance,X2,4307,false
calibration,CAL-01,7,selected_analysis_instance,X3,841769,false
calibration,CAL-01,7,selected_analysis_instance,X4,59570,false
calibration,CAL-01,8,selected_analysis_instance,E2E,1050061,false
calibration,CAL-01,8,selected_analysis_instance,X1,100034,false
calibration,CAL-01,8,selected_analysis_instance,X2,3157,false
calibration,CAL-01,8,selected_analysis_instance,X3,841376,false
calibration,CAL-01,8,selected_analysis_instance,X4,55494,false
calibration,CAL-01,9,selected_analysis_instance,E2E,1077451,false
calibration,CAL-01,9,selected_analysis_instance,X1,100066,false
calibration,CAL-01,9,selected_analysis_instance,X2,9580,false
calibration,CAL-01,9,selected_analysis_instance,X3,839232,false
calibration,CAL-01,9,selected_analysis_instance,X4,78573,false
calibration,CAL-01,10,selected_analysis_instance,E2E,1057397,false
calibration,CAL-01,10,selected_analysis_instance,X1,100056,false
calibration,CAL-01,10,selected_analysis_instance,X2,5263,false
calibration,CAL-01,10,selected_analysis_instance,X3,838963,false
calibration,CAL-01,10,selected_analysis_instance,X4,63115,false
calibration,CAL-01,11,selected_analysis_instance,E2E,3050381,false
calibration,CAL-01,11,selected_analysis_instance,X1,100064,false
calibration,CAL-01,11,selected_analysis_instance,X2,2107937,false
calibration,CAL-01,11,selected_analysis_instance,X3,52598,false
calibration,CAL-01,11,selected_analysis_instance,X4,56771,false
calibration,CAL-01,12,selected_analysis_instance,E2E,5110869,false
calibration,CAL-01,12,selected_analysis_instance,X1,100151,false
calibration,CAL-01,12,selected_analysis_instance,X2,4028484,false
calibration,CAL-01,12,selected_analysis_instance,X3,76622,false
calibration,CAL-01,12,selected_analysis_instance,X4,129368,false
calibration,CAL-01,13,selected_analysis_instance,E2E,1054420,false
calibration,CAL-01,13,selected_analysis_instance,X1,100058,false
calibration,CAL-01,13,selected_analysis_instance,X2,4378,false
calibration,CAL-01,13,selected_analysis_instance,X3,840700,false
calibration,CAL-01,13,selected_analysis_instance,X4,59284,false
calibration,CAL-01,14,selected_analysis_instance,E2E,1403161,false
calibration,CAL-01,14,selected_analysis_instance,X1,100144,false
calibration,CAL-01,14,selected_analysis_instance,X2,333786,false
calibration,CAL-01,14,selected_analysis_instance,X3,835467,false
calibration,CAL-01,14,selected_analysis_instance,X4,83764,false
calibration,CAL-01,15,selected_analysis_instance,E2E,1053946,false
calibration,CAL-01,15,selected_analysis_instance,X1,100054,false
calibration,CAL-01,15,selected_analysis_instance,X2,5652,false
calibration,CAL-01,15,selected_analysis_instance,X3,839092,false
