dgp_id,metric,n_units,events,rate,outer_mc_cp_lower,outer_mc_cp_upper,target,direction,status
IID,menu_family_content_failure,3000,56,0.0186666666666666,0.0141306292998938,0.0241724881727348,0.05,upper,PASS
IID,stage_upper_noncoverage_family,3000,9,0.003,0.0013726802606072,0.0056872623553172,0.04,upper,PASS
GAUSSIAN_AR1_WEAK,menu_family_content_failure,3000,66,0.022,0.0160908369526164,0.0292778770504694,0.05,upper,PASS
GAUSSIAN_AR1_WEAK,stage_upper_noncoverage_family,3000,10,0.0033333333333333,0.0013394654899531,0.0068146399837534,0.04,upper,PASS
HIDDEN_MARKOV,menu_family_content_failure,3000,392,0.1306666666666666,0.1162912710305994,0.1460799620530822,0.05,upper,FAIL
HIDDEN_MARKOV,stage_upper_noncoverage_family,3000,44,0.0146666666666666,0.009924106559584,0.020808676561135,0.04,upper,PASS
TAIL_BURST,menu_family_content_failure,3000,2510,0.8366666666666667,0.8198755546451385,0.852512926566086,0.05,upper,FAIL
TAIL_BURST,stage_upper_noncoverage_family,3000,1511,0.5036666666666667,0.4816539982536191,0.5256690813813826,0.04,upper,FAIL
IID,any_diagnostic_triggered,3000,0,0.0,0.0,0.0016458582282518,0.05,upper,PASS
GAUSSIAN_AR1_WEAK,diagnostic_detection,3000,3000,1.0,0.9983541417717482,1.0,0.8,lower,PASS
HIDDEN_MARKOV,diagnostic_detection,3000,3000,1.0,0.9983541417717482,1.0,0.8,lower,PASS
TAIL_BURST,diagnostic_detection,3000,2994,0.998,0.9949728850032196,0.999446777211792,0.8,lower,PASS
GAUSSIAN_AR1_WEAK,unsafe_pipeline_upgrade,3000,0,0.0,0.0,0.0016458582282518,0.05,upper,PASS
HIDDEN_MARKOV,unsafe_pipeline_upgrade,3000,0,0.0,0.0,0.0016458582282518,0.05,upper,PASS
TAIL_BURST,unsafe_pipeline_upgrade,3000,0,0.0,0.0,0.0016458582282518,0.05,upper,PASS
ALL,event_inclusion_violations,60200000,0,0.0,,,0.0,EXACT_ZERO,PASS
ALL,coupling_marginals_not_preserved,5200,0,0.0,,,0.0,EXACT_ZERO,PASS
