instance_id,source,stages,menu_size,gates,risk_budget,method,feasible,bound_ns,risk_sum,frontier_peak,runtime_ns,peak_rss_bytes,seed,selected_menu_ids,calendar_signature
real_menu,real_menu,4,3,2,0.01,pareto_dp,True,8510979,0.01,5.0,119900,,0,"[""X1@0.002"", ""X2@0.004"", ""X3@0.002"", ""X4@0.002""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
real_menu,real_menu,4,3,2,0.01,equal_risk,True,9510979,0.008,,80100,,0,"[""X1@0.002"", ""X2@0.002"", ""X3@0.002"", ""X4@0.002""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
real_menu,real_menu,4,3,2,0.01,proportional_risk,True,9510979,0.008,,76100,,0,"[""X1@0.002"", ""X2@0.002"", ""X3@0.002"", ""X4@0.002""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
real_menu,real_menu,4,3,2,0.01,greedy_gate_catching,True,8510979,0.01,,213200,,0,"[""X1@0.002"", ""X2@0.004"", ""X3@0.002"", ""X4@0.002""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_00,synthetic,4,3,1,0.01,pareto_dp,True,1148946,0.00925,4.0,63100,,17362688474173183607,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_00,synthetic,4,3,1,0.01,equal_risk,True,1281471,0.008,,46100,,17362688474173183607,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_00,synthetic,4,3,1,0.01,proportional_risk,True,1281471,0.008,,59400,,17362688474173183607,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_00,synthetic,4,3,1,0.01,greedy_gate_catching,True,1148946,0.00925,,143000,,17362688474173183607,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_01,synthetic,4,3,1,0.01,pareto_dp,True,953630,0.00925,3.0,52100,,1662597480358610141,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0032"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_01,synthetic,4,3,1,0.01,equal_risk,True,1038857,0.008,,40200,,1662597480358610141,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_01,synthetic,4,3,1,0.01,proportional_risk,True,1038857,0.008,,56900,,1662597480358610141,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_01,synthetic,4,3,1,0.01,greedy_gate_catching,True,953630,0.00925,,139400,,1662597480358610141,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0032"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_02,synthetic,4,3,1,0.01,pareto_dp,True,992629,0.00925,4.0,57800,,10125579854736362071,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_02,synthetic,4,3,1,0.01,equal_risk,True,1092794,0.008,,39000,,10125579854736362071,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_02,synthetic,4,3,1,0.01,proportional_risk,True,1092794,0.008,,52100,,10125579854736362071,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_02,synthetic,4,3,1,0.01,greedy_gate_catching,True,992629,0.00925,,138300,,10125579854736362071,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_03,synthetic,4,3,1,0.01,pareto_dp,True,823954,0.00925,3.0,47600,,11462353672119675811,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_03,synthetic,4,3,1,0.01,equal_risk,True,926240,0.008,,38900,,11462353672119675811,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_03,synthetic,4,3,1,0.01,proportional_risk,True,926240,0.008,,51700,,11462353672119675811,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0020""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
syn_4_3_1_03,synthetic,4,3,1,0.01,greedy_gate_catching,True,823954,0.00925,,134500,,11462353672119675811,"[""m0@0.0020"", ""m1@0.0020"", ""m2@0.0020"", ""m3@0.0032""]","[""C1"", 1000000, 0, 50000, [[400000, 700000]], 455509]"
