split,coordinate_id,n_units,n_lag_pairs,lag1_pearson,lag1_spearman,trigger_threshold,correlation_triggered,acf_lag2,acf_lag5,acf_lag10,acf_lag25,session_median_min,session_median_max,session_maximum_min,session_maximum_max,status
calibration,X1,3000,2980,0.4633976257068535,0.2864344125297396,0.1,True,0.437332340040372,0.4344495567670165,0.4272851169158856,0.4491494063302446,100029.0,100151.0,100198.0,100835.0,CORRELATION_TRIGGERED
calibration,X2,3000,2980,0.2672029732347605,0.0128000730395781,0.1,True,0.2275676347334576,0.2604552153929821,0.310162586070257,0.2462650211892394,4360.0,72234.5,17363.0,9151447.0,CORRELATION_TRIGGERED
calibration,X3,3000,2980,0.0107134761785001,0.0801931220451724,0.1,False,0.0279295056001363,0.026877591013496,-0.0006998604934372,0.0352656388883198,828920.5,840355.0,833775.0,4855822.0,OK
calibration,X4,3000,2980,0.027971748820815,0.1024958098292404,0.1,True,0.074992713662541,0.0377274485514867,0.0002834492445722,0.0015858956079491,62814.5,84836.5,79163.0,3538646.0,CORRELATION_TRIGGERED
calibration,E2E,3000,2980,0.2802425239462337,0.0378365112068856,0.1,True,0.2404170593809305,0.2687252732655987,0.3331507939113881,0.2717808856481514,1061712.5,1450514.0,1082464.0,10088012.0,CORRELATION_TRIGGERED
validation,X1,3500,3480,0.1882727698752158,0.0745908857521943,0.1,True,0.1690448719805286,0.1319702327651134,0.1935278118776576,0.2001503734011464,100080.0,100153.0,100194.0,100250.0,CORRELATION_TRIGGERED
validation,X2,3500,3480,0.2865356898247858,-0.0093586373039167,0.1,True,0.355439316123004,0.3478497779929583,0.2719455522118362,0.3568943493583528,14872.0,21365.0,17900.0,6030708.0,CORRELATION_TRIGGERED
validation,X3,3500,3480,-0.0174847525497853,0.0265116371379796,0.1,False,0.1159464562756966,0.015320204373689,0.0432811410565325,0.0285513604443554,829022.0,837050.0,832976.0,3953998.0,OK
validation,X4,3500,3480,0.0289960010472234,0.0084774278975211,0.1,False,0.0206626755593496,0.1929487250024103,0.0714585279862448,0.1306291326514441,75182.0,90467.0,86831.0,3502599.0,OK
validation,E2E,3500,3480,0.3423735969248627,0.0180061550232348,0.1,True,0.38716665943739,0.3609876175978316,0.2802643025690071,0.3765640773005928,1069439.0,1211349.0,1081780.0,7135969.0,CORRELATION_TRIGGERED
