split,coordinate_id,planned_session_index,actual_session_id,n_units,median_ns,maximum_ns,failure_count,lag1_pearson,lag1_spearman
calibration,X1,1,session_001,150,100077.5,100835.0,0,-0.0969717540991799,-0.0417585507785564
calibration,X1,2,session_002,150,100070.5,100249.0,0,0.0869141858602515,0.0866362457022071
calibration,X1,3,session_003,150,100043.0,100247.0,0,0.2466616793366197,0.4081157216068804
calibration,X1,4,session_004,150,100029.0,100242.0,0,0.3126602849735567,0.3420641611007874
calibration,X1,5,session_005,150,100147.5,100208.0,0,0.053543516586765,0.0721657529407437
calibration,X1,6,session_006,150,100145.5,100198.0,0,-0.0261514181816922,0.0134884079764205
calibration,X1,7,session_007,150,100148.0,100219.0,0,-0.0183865808916036,0.0214306011137346
calibration,X1,8,session_008,150,100143.5,100206.0,0,0.1490295709783459,0.1156607695589423
calibration,X1,9,session_009,150,100148.5,100208.0,0,0.0902311366068044,0.1156412950953861
calibration,X1,10,session_010,150,100146.0,100201.0,0,0.1285820746659276,0.1552362432755429
calibration,X1,11,session_011,150,100151.0,100208.0,0,0.1131205333091968,0.1413430288563426
calibration,X1,12,session_012,150,100148.0,100208.0,0,0.0125414857512247,0.0456015679540673
calibration,X1,13,session_013,150,100151.0,100205.0,0,-0.0318665852509907,-0.029420117978106
calibration,X1,14,session_014,150,100149.0,100228.0,0,-0.0381036304257234,-0.0069375745353622
calibration,X1,15,session_015,150,100148.0,100210.0,0,0.0918112758723656,0.1231801101983997
calibration,X1,16,session_016,150,100150.0,100208.0,0,0.0295652944410353,0.0723104440554693
calibration,X1,17,session_017,150,100150.0,100208.0,0,-0.0434168284798021,-0.0141482076499477
calibration,X1,18,session_018,150,100148.0,100205.0,0,0.0224579290076632,0.0189479684220433
calibration,X1,19,session_019,150,100148.5,100205.0,0,0.0688426599542202,0.1008986049466461
calibration,X1,20,session_020,150,100146.5,100208.0,0,0.029173628065033,0.0534506562202277
calibration,X2,1,session_001,150,11991.0,9151447.0,0,0.0297057253922803,0.0192417921276981
calibration,X2,2,session_002,150,72234.5,8017883.0,0,-0.0760291371432597,-0.0739198258661345
calibration,X2,3,session_003,150,11679.0,7918912.0,0,0.1163599916838534,0.2031017594775984
calibration,X2,4,session_004,150,4360.0,4950958.0,0,-0.0034830870344935,0.2372868443439948
