phase_ns,run_id,instance_id,eligibility_ns,predicted_cycle,observed_cycle,reference_match,phase_bound_ns,maxwait_bound_ns,observed_e2e_ns,wait_ns,observed_wait_ns,reschedule_count,sweep
0,9001,32,32131651,32,32,True,557687,1039337,557687,268349,327305,0,coarse
0,9001,33,33127151,33,33,True,564318,1041468,564318,272849,331820,0,coarse
0,9001,34,34131035,34,34,True,566666,1047700,566666,268965,327118,0,coarse
0,9001,35,35126898,35,35,True,572669,1049566,572669,273102,331602,0,coarse
0,9001,36,36130904,36,36,True,567577,1048480,567577,269096,327391,0,coarse
0,9001,37,37130177,37,37,True,569913,1050089,569913,269823,327985,0,coarse
0,9001,38,38135335,38,38,True,569984,1055318,569984,264665,323032,0,coarse
0,9001,39,39131043,39,39,True,571026,1052068,571026,268957,327097,0,coarse
0,9002,32,215140424,215,215,True,572323,1062746,572323,259576,317695,0,coarse
0,9002,33,216132115,216,216,True,579998,1062112,579998,267885,325834,0,coarse
0,9002,34,217134652,217,217,True,577404,1062055,577404,265348,323482,0,coarse
0,9002,35,218130912,218,218,True,585126,1066037,585126,269088,327258,0,coarse
0,9002,36,219132940,219,219,True,578287,1061226,578287,267060,325716,0,coarse
0,9002,37,220132150,220,220,True,575011,1057160,575011,267850,326037,0,coarse
0,9002,38,221135722,221,221,True,568924,1054645,568924,264278,322458,0,coarse
0,9002,39,222130920,222,222,True,572880,1053799,572880,269080,328891,0,coarse
0,9003,32,374128627,374,374,True,572019,1050645,572019,271373,330568,0,coarse
0,9003,33,375140022,375,375,True,585251,1075272,585251,259978,324212,0,coarse
0,9003,34,376136043,376,376,True,576359,1062401,576359,263957,323753,0,coarse
0,9003,35,377138141,377,377,True,592467,1080607,592467,261859,326207,0,coarse
0,9003,36,378139320,378,378,True,584094,1073413,584094,260680,320201,0,coarse
0,9003,37,379138844,379,379,True,581130,1069973,581130,261156,319276,0,coarse
0,9003,38,380135564,380,380,True,583409,1068972,583409,264436,322675,0,coarse
0,9003,39,381140632,381,381,True,580073,1070704,580073,259368,317471,0,coarse
50000,9004,32,529219467,529,529,True,474543,1044009,474543,180533,236201,0,coarse
50000,9004,33,530216901,530,530,True,479053,1045953,479053,183099,237726,0,coarse
50000,9004,34,531219237,531,531,True,469682,1038918,469682,180763,235010,0,coarse
50000,9004,35,532219039,532,532,True,468848,1037886,468848,180961,235395,0,coarse
50000,9004,36,533216910,533,533,True,467440,1034349,467440,183090,238122,0,coarse
50000,9004,37,534218937,534,534,True,467854,1036790,467854,181063,236485,0,coarse
50000,9004,38,535221263,535,535,True,470498,1041760,470498,178737,234640,0,coarse
50000,9004,39,536225480,536,536,True,479282,1054761,479282,174520,231278,0,coarse
50000,9005,32,698229710,698,698,True,475013,1054722,475013,170290,229353,0,coarse
50000,9005,33,699230934,699,699,True,475442,1056375,475442,169066,228608,0,coarse
50000,9005,34,700227775,700,700,True,477230,1055004,477230,172225,231621,0,coarse
50000,9005,35,701229680,701,701,True,496621,1076300,496621,170320,235559,0,coarse
50000,9005,36,702233745,702,702,True,490400,1074144,490400,166255,229431,0,coarse
50000,9005,37,703228437,703,703,True,488832,1067268,488832,171563,230228,0,coarse
50000,9005,38,704228218,704,704,True,481423,1059640,481423,171782,229957,0,coarse
50000,9005,39,705228655,705,705,True,479120,1057774,479120,171345,229578,0,coarse
50000,9006,32,861234041,861,861,True,476408,1060448,476408,165959,228513,0,coarse
50000,9006,33,862231796,862,862,True,488297,1070092,488297,168204,230380,0,coarse
50000,9006,34,863226617,863,863,True,481152,1057768,481152,173383,230909,0,coarse
50000,9006,35,864225598,864,864,True,473478,1049075,473478,174402,230480,0,coarse
50000,9006,36,865224777,865,865,True,476568,1051344,476568,175223,231419,0,coarse
50000,9006,37,866221672,866,866,True,468623,1040294,468623,178328,233574,0,coarse
50000,9006,38,867223139,867,867,True,469410,1042548,469410,176861,232436,0,coarse
50000,9006,39,868223010,868,868,True,470697,1043706,470697,176990,233335,0,coarse
100000,9007,32,1075278286,1075,1075,True,424023,1052308,424023,121714,179772,0,coarse
100000,9007,33,1076278119,1076,1076,True,424122,1052240,424122,121881,179974,0,coarse
100000,9007,34,1077279879,1077,1077,True,430317,1060195,430317,120121,178149,0,coarse
100000,9007,35,1078278248,1078,1078,True,429518,1057765,429518,121752,179821,0,coarse
100000,9007,36,1079278438,1079,1079,True,432706,1061143,432706,121562,179633,0,coarse
100000,9007,37,1080277377,1080,1080,True,467360,1094736,467360,122623,180754,0,coarse
100000,9007,38,1081278692,1081,1081,True,430705,1059396,430705,121308,179420,0,coarse
100000,9007,39,1082280225,1082,1082,True,2875778,3506002,2875778,119775,177785,0,coarse
100000,9008,32,1245277746,1245,1245,True,420594,1048339,420594,122254,178954,0,coarse
100000,9008,33,1246276883,1246,1246,True,422031,1048913,422031,123117,180539,0,coarse
100000,9008,34,1247277057,1247,1247,True,422407,1049463,422407,122943,180279,0,coarse
100000,9008,35,1248278602,1248,1248,True,423146,1051747,423146,121398,179679,0,coarse
100000,9008,36,1249278231,1249,1249,True,424956,1053186,424956,121769,180031,0,coarse
